% 1. Title: Iris Plants Database
% 
% 2. Sources:
%      (a) Creator: R.A. Fisher
%      (b) Donor: Michael Marshall (MARSHALL%PLU@io.arc.nasa.gov)
%      (c) Date: July, 1988
% 
% 3. Past Usage:
%    - Publications: too many to mention!!!  Here are a few.
%    1. Fisher,R.A. "The use of multiple measurements in taxonomic problems"
%       Annual Eugenics, 7, Part II, 179-188 (1936); also in "Contributions
%       to Mathematical Statistics" (John Wiley, NY, 1950).
%    2. Duda,R.O., & Hart,P.E. (1973) Pattern Classification and Scene Analysis.
%       (Q327.D83) John Wiley & Sons.  ISBN 0-471-22361-1.  See page 218.
%    3. Dasarathy, B.V. (1980) "Nosing Around the Neighborhood: A New System
%       Structure and Classification Rule for Recognition in Partially Exposed
%       Environments".  IEEE Transactions on Pattern Analysis and Machine
%       Intelligence, Vol. PAMI-2, No. 1, 67-71.
%       -- Results:
%          -- very low misclassification rates (0% for the setosa class)
%    4. Gates, G.W. (1972) "The Reduced Nearest Neighbor Rule".  IEEE 
%       Transactions on Information Theory, May 1972, 431-433.
%       -- Results:
%          -- very low misclassification rates again
%    5. See also: 1988 MLC Proceedings, 54-64.  Cheeseman et al's AUTOCLASS II
%       conceptual clustering system finds 3 classes in the data.
% 
% 4. Relevant Information:
%    --- This is perhaps the best known database to be found in the pattern
%        recognition literature.  Fisher's paper is a classic in the field
%        and is referenced frequently to this day.  (See Duda & Hart, for
%        example.)  The data set contains 3 classes of 50 instances each,
%        where each class refers to a type of iris plant.  One class is
%        linearly separable from the other 2; the latter are NOT linearly
%        separable from each other.
%    --- Predicted attribute: class of iris plant.
%    --- This is an exceedingly simple domain.
% 
% 5. Number of Instances: 150 (50 in each of three classes)
% 
% 6. Number of Attributes: 4 numeric, predictive attributes and the class
% 
% 7. Attribute Information:
%    1. sepal length in cm
%    2. sepal width in cm
%    3. petal length in cm
%    4. petal width in cm
%    5. class: 
%       -- Iris Setosa
%       -- Iris Versicolour
%       -- Iris Virginica
% 
% 8. Missing Attribute Values: None
% 
% Summary Statistics:
%  	           Min  Max   Mean    SD   Class Correlation
%    sepal length: 4.3  7.9   5.84  0.83    0.7826   
%     sepal width: 2.0  4.4   3.05  0.43   -0.4194
%    petal length: 1.0  6.9   3.76  1.76    0.9490  (high!)
%     petal width: 0.1  2.5   1.20  0.76    0.9565  (high!)
% 
% 9. Class Distribution: 33.3% for each of 3 classes.

@RELATION jk

@ATTRIBUTE P_value	REAL
@ATTRIBUTE S_entropy    REAL
@ATTRIBUTE F3   REAL
@ATTRIBUTE class 	{'coding','non_coding'}

@DATA
7.34558,2.91474,0.03856,'coding'
0.56945,2.75761,0.01123,'non_coding'
6.91104,2.96944,0.04444,'coding'
0.72697,1.50000,0.05782,'non_coding'
22.33999,2.70724,0.06863,'coding'
29.29311,2.88615,0.07000,'coding'
10.50319,2.49401,0.05025,'coding'
5.13744,3.07552,0.04870,'coding'
6.50196,3.06651,0.05100,'coding'
11.58766,2.89511,0.05231,'coding'
7.06717,3.05223,0.05374,'coding'
3.71994,3.18004,0.03397,'coding'
6.82292,3.03107,0.04738,'coding'
6.63426,2.98590,0.04607,'coding'
8.89538,2.43223,0.06493,'coding'
0.60256,1.58496,0.04635,'non_coding'
0.29189,1.58496,0.05013,'coding'
0.97591,1.58496,0.03840,'coding'
0.31513,1.92193,0.04325,'non_coding'
16.82639,3.03425,0.05393,'coding'
15.60791,2.94335,0.05291,'coding'
26.69767,2.80130,0.05174,'coding'
14.82051,2.96426,0.07600,'coding'
9.47789,2.90589,0.06135,'coding'
8.15140,2.74329,0.03178,'coding'
5.63242,3.01043,0.07716,'coding'
9.65629,2.73060,0.06683,'coding'
11.12409,3.02989,0.06046,'coding'
0.38830,2.66353,0.00933,'non_coding'
4.18108,3.01118,0.02893,'coding'
8.51658,2.86576,0.08918,'coding'
3.98649,2.73597,0.05387,'coding'
4.77228,2.87291,0.04725,'coding'
6.46346,3.16542,0.06913,'coding'
8.29308,3.22807,0.08013,'coding'
36.21028,2.71605,0.04988,'coding'
0.60183,2.93121,0.00863,'non_coding'
16.02399,2.86401,0.04805,'coding'
0.82000,2.52164,0.03280,'non_coding'
10.24324,3.00421,0.07910,'coding'
6.56231,2.78064,0.06133,'coding'
7.99679,2.52534,0.03854,'coding'
11.63016,2.76989,0.04176,'coding'
8.28148,2.96732,0.03681,'coding'
14.22790,2.68350,0.05591,'coding'
10.25455,2.95270,0.05327,'coding'
0.60377,2.52164,0.02278,'non_coding'
22.61149,2.78916,0.07639,'coding'
5.32210,3.08506,0.11960,'coding'
0.27273,2.41938,0.00826,'non_coding'
16.20357,2.98746,0.05787,'coding'
4.77506,2.57518,0.03339,'coding'
6.56842,2.88755,0.04609,'coding'
11.46625,3.01727,0.04738,'coding'
8.45992,2.58794,0.05354,'coding'
10.23958,2.79028,0.05333,'coding'
1.18605,2.79248,0.02758,'coding'
8.87481,2.94746,0.04090,'coding'
0.54131,1.50000,0.05037,'non_coding'
7.13808,2.65775,0.05973,'coding'
9.51637,2.85456,0.08497,'coding'
15.76066,2.73654,0.07470,'coding'
2.30789,2.90531,0.03523,'coding'
14.44283,2.96790,0.05242,'coding'
11.51735,2.95718,0.07266,'coding'
2.14247,2.71078,0.03456,'coding'
1.01361,2.23593,0.04137,'coding'
2.78125,2.94504,0.04346,'coding'
4.40288,3.13961,0.03168,'coding'
3.06331,2.96347,0.03423,'coding'
9.84885,2.73631,0.05915,'coding'
2.80594,2.39232,0.03844,'coding'
4.92617,3.06398,0.03306,'coding'
11.20012,2.50828,0.03944,'coding'
0.29167,2.00000,0.01042,'non_coding'
0.30564,2.00000,0.01823,'coding'
15.55458,3.01947,0.04568,'coding'
7.38377,2.99001,0.04858,'coding'
1.78431,2.64644,0.05248,'coding'
29.28403,2.71573,0.04397,'coding'
8.19843,3.07337,0.03511,'coding'
17.76014,2.46306,0.05473,'coding'
17.63095,2.91067,0.06996,'coding'
11.76211,2.79728,0.04952,'coding'
1.51682,2.52178,0.02783,'coding'
0.31985,2.23593,0.01328,'non_coding'
8.72836,3.01921,0.05211,'coding'
3.14524,3.04638,0.04493,'coding'
3.48148,2.25163,0.15473,'non_coding'
1.70186,2.63684,0.02114,'coding'
1.60253,2.75163,0.02343,'non_coding'
1.88674,2.27562,0.01457,'coding'
1.02528,2.89629,0.01606,'non_coding'
2.54579,2.60316,0.05595,'coding'
30.56546,2.81658,0.06725,'coding'
0.38739,1.52193,0.02094,'non_coding'
5.59064,2.88582,0.03923,'coding'
22.42552,3.03515,0.05126,'coding'
22.05907,2.34566,0.05467,'coding'
15.69964,2.69905,0.04779,'coding'
0.67633,3.02193,0.00980,'coding'
0.52960,2.00000,0.01179,'non_coding'
22.62266,2.61279,0.04458,'coding'
1.64029,2.94644,0.02360,'coding'
0.67698,2.66450,0.01396,'non_coding'
6.17995,2.94235,0.03177,'coding'
12.29178,2.34611,0.06521,'coding'
9.05211,2.63257,0.04492,'coding'
10.44091,3.04217,0.02460,'coding'
0.89605,1.00000,0.05967,'non_coding'
5.74155,2.84644,0.08321,'coding'
8.47577,2.47663,0.07468,'coding'
3.08947,2.72508,0.03252,'coding'
3.90149,3.13700,0.02681,'coding'
6.60256,2.47529,0.04232,'coding'
5.55004,2.93121,0.02898,'coding'
3.13810,2.58679,0.04483,'coding'
5.06838,2.01992,0.06498,'coding'
26.98694,2.58015,0.07834,'coding'
0.45897,1.00000,0.06920,'non_coding'
4.89155,2.88114,0.04681,'coding'
6.64389,3.00271,0.08253,'coding'
1.96190,2.78990,0.03737,'coding'
3.16998,2.58583,0.04199,'coding'
9.29069,2.70500,0.03962,'coding'
9.79616,2.94666,0.04910,'coding'
0.49477,2.64160,0.01827,'non_coding'
19.05684,2.42310,0.05855,'coding'
0.38095,1.58496,0.03628,'non_coding'
3.38388,2.87073,0.02774,'coding'
0.37178,1.92193,0.03122,'non_coding'
9.82915,2.93240,0.04113,'coding'
13.97559,2.63352,0.05848,'coding'
14.68968,3.09539,0.06146,'coding'
6.36472,2.93755,0.05708,'coding'
12.41350,3.07807,0.07857,'coding'
3.74377,3.04307,0.02665,'coding'
2.05983,2.36852,0.05282,'coding'
18.47016,2.69872,0.05088,'coding'
4.49751,2.54926,0.04475,'coding'
4.03780,2.86232,0.04163,'coding'
3.89649,2.87739,0.04102,'coding'
6.05747,3.05313,0.04642,'coding'
7.44330,3.11431,0.03837,'coding'
3.79450,3.18941,0.02720,'coding'
8.70988,2.80598,0.04032,'coding'
4.83333,2.82390,0.04603,'coding'
6.10868,2.74295,0.02673,'coding'
3.74474,2.20734,0.03374,'coding'
4.11392,3.10490,0.05207,'coding'
5.53968,3.08949,0.04397,'coding'
3.53798,2.79989,0.03291,'coding'
9.12121,2.88073,0.05350,'coding'
15.48496,2.69045,0.05481,'coding'
0.62711,1.50000,0.02370,'non_coding'
8.73158,2.71373,0.03542,'coding'
6.70793,2.78253,0.04370,'coding'
13.47840,2.81908,0.03797,'coding'
7.60664,2.99181,0.03223,'coding'
4.99676,2.65656,0.09702,'coding'
3.77622,2.80735,0.02641,'coding'
8.17529,3.06761,0.04698,'coding'
3.05936,2.78401,0.04191,'coding'
5.32564,2.69838,0.04097,'coding'
1.69774,2.89542,0.02878,'coding'
12.59175,2.93754,0.05192,'coding'
1.57706,2.93121,0.03392,'non_coding'
2.72222,2.73957,0.05338,'coding'
4.13146,2.72472,0.05819,'coding'
1.85912,3.13478,0.01403,'coding'
4.14521,2.09227,0.08208,'coding'
6.14947,2.77826,0.04377,'coding'
12.46572,2.64923,0.05078,'coding'
5.57436,3.14730,0.02859,'coding'
10.24263,2.86091,0.03420,'coding'
0.52381,1.50000,0.03741,'non_coding'
17.28655,3.01645,0.06065,'coding'
2.01932,2.56387,0.02927,'coding'
1.59829,1.92193,0.08196,'non_coding'
3.52096,3.06849,0.04217,'coding'
0.54854,2.35539,0.02409,'non_coding'
8.27429,2.93468,0.03710,'coding'
1.16236,2.41938,0.02741,'non_coding'
1.50357,2.56257,0.00586,'coding'
0.45503,1.44662,0.01445,'non_coding'
0.69358,2.68591,0.00115,'coding'
1.25160,1.92193,0.03344,'coding'
0.53652,2.17095,0.01750,'non_coding'
2.05556,2.90576,0.03426,'coding'
2.57576,2.87500,0.04683,'coding'
0.29710,2.58496,0.01292,'non_coding'
18.68821,2.28121,0.03355,'coding'
17.20050,2.86275,0.06466,'coding'
2.47985,2.81507,0.05450,'coding'
20.72581,2.81637,0.06686,'coding'
4.01475,2.28064,0.07106,'coding'
6.93214,2.91819,0.04952,'coding'
4.60617,2.87572,0.03412,'coding'
8.71608,2.86837,0.04102,'coding'
3.48670,2.71045,0.01855,'coding'
6.49187,2.68535,0.03167,'coding'
0.64348,1.58496,0.06293,'non_coding'
10.39125,3.11851,0.07370,'coding'
1.99140,2.76676,0.02570,'coding'
0.91111,2.00000,0.06074,'non_coding'
3.94704,2.85222,0.07378,'coding'
5.67313,2.77983,0.04398,'coding'
4.08176,2.90498,0.03851,'coding'
2.61059,2.52440,0.04880,'coding'
7.37296,3.00102,0.05156,'coding'
2.36742,2.81507,0.05381,'coding'
1.33793,2.55283,0.01845,'coding'
5.13259,2.47622,0.03816,'coding'
1.76499,2.60869,0.02540,'coding'
5.44610,2.62614,0.05419,'coding'
1.59690,2.91830,0.03714,'coding'
4.07859,2.71078,0.06632,'coding'
2.98165,2.95282,0.05471,'coding'
3.22099,2.82012,0.03559,'coding'
1.05914,2.50326,0.03417,'coding'
3.04460,1.97665,0.04288,'coding'
3.48649,2.88343,0.03769,'coding'
2.48276,2.74894,0.04281,'coding'
4.45126,2.95825,0.04199,'coding'
1.20309,2.66017,0.01593,'coding'
8.85574,2.83904,0.03721,'coding'
5.07442,2.90121,0.04720,'coding'
5.37885,3.04240,0.04320,'coding'
2.50235,2.64644,0.07049,'coding'
0.84211,1.92193,0.04432,'coding'
2.22933,2.88551,0.03567,'coding'
3.75410,2.72548,0.06154,'coding'
5.87234,2.46707,0.03570,'coding'
1.62634,2.86383,0.02623,'coding'
5.90303,2.88889,0.04293,'coding'
7.04918,2.60691,0.04622,'coding'
5.66429,2.77223,0.02691,'coding'
3.47755,2.74376,0.02839,'coding'
9.24287,2.83426,0.03040,'coding'
5.81551,3.13228,0.03658,'coding'
0.47150,2.32193,0.03612,'non_coding'
26.00380,2.84944,0.07408,'coding'
2.99042,2.49809,0.03437,'non_coding'
3.17764,2.73288,0.03806,'coding'
0.60951,2.84535,0.02224,'non_coding'
1.75380,2.81124,0.01455,'coding'
2.26772,2.54979,0.03571,'coding'
0.57037,1.91830,0.02535,'non_coding'
3.49801,2.78042,0.02787,'coding'
11.75199,2.84795,0.04011,'coding'
1.93333,2.87738,0.01172,'coding'
4.00209,2.35392,0.02509,'coding'
1.72627,2.75000,0.07844,'non_coding'
7.13062,2.95948,0.04471,'coding'
22.31511,2.44414,0.03089,'coding'
22.73581,2.69557,0.04327,'coding'
1.36079,3.03637,0.02191,'non_coding'
3.53431,1.83321,0.05198,'coding'
2.16450,2.66353,0.05622,'coding'
2.81616,2.13521,0.03414,'coding'
0.79926,2.50000,0.03168,'non_coding'
